Step,Position,Total Units,PnL,Return sum
T10,SHORT,100,0.12810000000001764,0.0003175624626053637
T20,CLOSED,0,0.12810000000001764,-0.00023319565749577918
T30,CLOSED,0,0.12810000000001764,-0.00011898785882260376
T40,CLOSED,0,0.12810000000001764,-0.00025530371043072967
T50,CLOSED,0,0.12810000000001764,0.00015566825447904675
T60,CLOSED,0,0.12810000000001764,0.0004273158430310763
T70,CLOSED,0,0.12810000000001764,0.00044677468401065334
T80,CLOSED,0,0.12810000000001764,0.0007343157231731233
T90,CLOSED,0,0.12810000000001764,0.00040598197698029097
T100,CLOSED,0,0.12810000000001764,0.00022587991995384553
